a	a
a capella	a k a p ɛ l a
a cappella	a k a p ɛ l a
a contrario	a k ɔ̃ t ʁ a ʁ j o
a fortiori	a f ɔ ʁ s j o ʁ i
a giorno	a d ʒ j ɔ ʁ n o
a jeun	a ʒ œ̃
a l'instar	a l ɛ̃ s t a ʁ
a posteriori	a p ɔ s t e ʁ j o ʁ i
a priori	a p ʁ i j o ʁ i
a priori	a p ʁ i j o ʁ i
aa	a a
ab absurdo	a b a p s u ʁ d o
ab initio	a b i n i s j o
ab ovo	a b o v o
abaca	a b a k a
abaissa	a b ɛ s a
abaissai	a b ɛ s ɛ
abaissaient	a b ɛ s ɛ
abaissait	a b ɛ s ɛ
abaissant	a b ɛ s ə
abaissant	a b ɛ s ə
abaissante	a b ɛ s ə t
abaisse	a b ɛ s
abaisse	a b ɛ s
abaisse langue	a b ɛ s l ə g
abaissement	a b ɛ s ə m ə
abaissent	a b ɛ s
abaisser	a b e s e
abaissera	a b ɛ s ə ʁ a
abaisserai	a b ɛ s ə ʁ ɛ
abaisseraient	a b ɛ s ə ʁ ɛ
abaisserais	a b ɛ s ə ʁ ɛ
abaisserait	a b ɛ s ə ʁ ɛ
abaisses	a b ɛ s
abaissez	a b ɛ s e
abaissons	a b ɛ s ɔ̃
abaissèrent	a b ɛ s ɛ ʁ
abaissé	a b e s e
abaissé	a b e s e
abaissée	a b e s e
abaissée	a b e s e
abaissées	a b e s e
abaissées	a b e s e
abaissés	a b e s e
abaissés	a b e s e
abalone	a b a l ɔ n
abalones	a b a l ɔ n
abandon	a b ə d ɔ̃
abandonna	a b ə d o n a
abandonnai	a b ə d o n ɛ
abandonnaient	a b ə d o n ɛ
abandonnais	a b ə d o n ɛ
abandonnait	a b ə d o n ɛ
abandonnant	a b ə d o n ə
abandonnas	a b ə d o n a
abandonne	a b ə d ɔ n
abandonnent	a b ə d ɔ n
abandonner	a b ə d o n e
abandonnera	a b ə d ɔ n ə ʁ a
abandonnerai	a b ə d ɔ n ə ʁ ɛ
abandonneraient	a b ə d ɔ n ə ʁ ɛ
abandonnerais	a b ə d ɔ n ə ʁ ɛ
abandonnerait	a b ə d ɔ n ə ʁ ɛ
abandonneras	a b ə d ɔ n ə ʁ a
abandonnerez	a b ə d ɔ n ə ʁ e
abandonneriez	a b ə d ɔ n ə ʁ j e
abandonnerions	a b ə d ɔ n ə ʁ j ɔ̃
abandonnerons	a b ə d ɔ n ə ʁ ɔ̃
abandonneront	a b ə d ɔ n ə ʁ ɔ̃
abandonnes	a b ə d ɔ n
abandonneurs	a b ə d o n ʁ
abandonnez	a b ə d o n e
abandonniez	a b ə d o n j e
abandonnions	a b ə d o n j ɔ̃
abandonnique	a b ə d o n i k
abandonnons	a b ə d o n ɔ̃
abandonnâmes	a b ə d o n a m
abandonnât	a b ə d o n a
abandonnèrent	a b ə d o n ɛ ʁ
abandonné	a b ə d o n e
abandonné	a b ə d o n e
abandonnée	a b ə d o n e
abandonnée	a b ə d o n e
abandonnées	a b ə d o n e
abandonnées	a b ə d o n e
abandonnés	a b ə d o n e
abandonnés	a b ə d o n e
abandons	a b ə d ɔ̃
abaque	a b a k
abasourdi	a b a z u ʁ d i
abasourdi	a b a z u ʁ d i
abasourdie	a b a z u ʁ d i
abasourdie	a b a z u ʁ d i
abasourdir	a b a z u ʁ d i ʁ
abasourdis	a b a z u ʁ d i
abasourdis	a b a z u ʁ d i
abasourdissant	a b a z u ʁ d i s ə
abasourdissants	a b a z u ʁ d i s ə
abat	a b a
abat	a b a
abat jour	a b a ʒ u ʁ
abat son	a b a s ɔ̃
abatage	a b a t a ʒ
abatis	a b a t i
abats	a b a
abats	a b a
abattage	a b a t a ʒ
abattages	a b a t a ʒ
abattaient	a b a t ɛ
abattais	a b a t ɛ
abattait	a b a t ɛ
abattant	a b a t ə
abattant	a b a t ə
abattants	a b a t ə
abatte	a b a t
abattement	a b a t ə m ə
abattements	a b a t ə m ə
abattent	a b a t
abattes	a b a t
abatteur	a b a t ʁ
abatteurs	a b a t ʁ
abattez	a b a t e
abattiez	a b a t j e
abattions	a b a t j ɔ̃
abattirent	a b a t i ʁ
abattis	a b a t i
abattis	a b a t i
abattit	a b a t i
abattoir	a b a t w a ʁ
abattoirs	a b a t w a ʁ
abattons	a b a t ɔ̃
abattra	a b a t ʁ a
abattrai	a b a t ʁ ɛ
abattraient	a b a t ʁ ɛ
abattrais	a b a t ʁ ɛ
abattrait	a b a t ʁ ɛ
abattras	a b a t ʁ a
abattre	a b a t ʁ
abattrez	a b a t ʁ e
abattriez	a b a t ʁ i e
abattrons	a b a t ʁ ɔ̃
abattront	a b a t ʁ ɔ̃
abattu	a b a t y
abattu	a b a t y
abattu	a b a t y
abattue	a b a t y
abattue	a b a t y
abattues	a b a t y
abattues	a b a t y
abattures	a b a t y ʁ
abattus	a b a t y
abattus	a b a t y
abattus	a b a t y
abbatial	a b a s j a l
abbatiale	a b a s j a l
abbatiale	a b a s j a l
abbatiales	a b a s j a l
abbaye	a b e i
abbayes	a b e i
abbesse	a b ɛ s
abbesses	a b ɛ s
abbé	a b e
abbés	a b e
abc	a b e s e
abcès	a p s ɛ
abdication	a b d i k a s j ɔ̃
abdications	a b d i k a s j ɔ̃
abdiqua	a b d i k a
abdiquai	a b d i k ɛ
abdiquaient	a b d i k ɛ
abdiquais	a b d i k ɛ
abdiquait	a b d i k ɛ
abdiquant	a b d i k ə
abdique	a b d i k
abdiquer	a b d i k e
abdiquera	a b d i k ə ʁ a
abdiquerais	a b d i k ə ʁ ɛ
abdiquerait	a b d i k ə ʁ ɛ
abdiquez	a b d i k e
abdiqué	a b d i k e
abdiquée	a b d i k e
abdomen	a b d o m ɛ n
abdominal	a b d o m i n a l
abdominale	a b d o m i n a l
abdominales	a b d o m i n a l
abdominaux	a b d o m i n o
abdominaux	a b d o m i n o
abdos	a b d o
abducteur	a b d y k t ʁ
abduction	a b d y k s j ɔ̃
abeille	a b ɛ j
abeilles	a b ɛ j
aber	a b e
aberrant	a b ɛ ʁ ə
aberrant	a b ɛ ʁ ə
aberrante	a b ɛ ʁ ə t
aberrantes	a b ɛ ʁ ə t
aberrants	a b ɛ ʁ ə
aberration	a b ɛ ʁ a s j ɔ̃
aberrations	a b ɛ ʁ a s j ɔ̃
abhorrais	a b ɔ ʁ ɛ
abhorrait	a b ɔ ʁ ɛ
abhorrant	a b ɔ ʁ ə
abhorre	a b ɔ ʁ
abhorrer	a b ɔ ʁ e
abhorrez	a b ɔ ʁ e
abhorré	a b ɔ ʁ e
abhorré	a b ɔ ʁ e
abhorrée	a b ɔ ʁ e
abhorrée	a b ɔ ʁ e
abhorrés	a b ɔ ʁ e
abject	a b ʒ ɛ k t
abjecte	a b ʒ ɛ k t
abjectement	a b ʒ ɛ k t ə m ə
abjectes	a b ʒ ɛ k t
abjection	a b ʒ ɛ k s j ɔ̃
abjections	a b ʒ ɛ k s j ɔ̃
abjects	a b ʒ ɛ k t
abjurant	a b ʒ y ʁ ə
abjuration	a b ʒ y ʁ a s j ɔ̃
abjurations	a b ʒ y ʁ a s j ɔ̃
abjure	a b ʒ y ʁ
abjurer	a b ʒ y ʁ e
abjurez	a b ʒ y ʁ e
